iter	Passed	Remaining
0	1291	1290694
1	1996	996036
2	2707	899925
3	3411	849429
4	4123	820490
5	4839	801716
6	5517	782672
7	6194	768067
8	6893	759059
9	7592	751626
10	8273	743823
11	8958	737586
12	9632	731325
13	10308	725989
14	10975	720741
15	11639	715845
16	12306	711604
17	12974	707806
18	13639	704223
19	14301	700758
20	14965	697699
21	15632	694926
22	16305	692613
23	16973	690251
24	17639	687939
25	18300	685559
26	18979	683957
27	19647	682048
28	20309	680017
29	20983	678452
30	21656	676933
31	22317	675112
32	22974	673225
33	23643	671758
34	24306	670157
35	24953	668198
36	25610	666563
37	26270	665051
38	26927	663531
39	27572	661731
40	28220	660078
41	28875	658640
42	29530	657228
43	30187	655891
44	30837	654443
45	31493	653151
46	32147	651850
47	32869	651909
48	33551	651180
49	34223	650245
50	34883	649102
51	35533	647808
52	36194	646719
53	36846	645497
54	37493	644202
55	38142	642976
56	38817	642191
57	39471	641079
58	40122	639925
59	40772	638770
60	41437	637868
61	42135	637471
62	42825	636946
63	43484	635958
64	44135	634868
65	44796	633943
66	45451	632932
67	46118	632088
68	46771	631081
69	47420	630010
70	48078	629087
71	48734	628132
72	49396	627272
73	50048	626282
74	50701	625313
75	51346	624269
76	51994	623254
77	52637	622204
78	53304	621441
79	53947	620399
80	54595	619421
81	55236	618383
82	55886	617448
83	56546	616621
84	57189	615628
85	57872	615066
86	58516	614088
87	59160	613117
88	59805	612165
89	60479	611513
90	61134	610676
91	61776	609702
92	62422	608789
93	63070	607891
94	63724	607062
95	64370	606153
96	65013	605225
97	65679	604516
98	66327	603644
99	66996	602967
100	67655	602200
101	68293	601252
102	68939	600371
103	69585	599504
104	70244	598753
105	70885	597844
106	71529	596969
107	72173	596103
108	72818	595240
109	73461	594370
110	74105	593508
111	74751	592670
112	75422	592030
113	76077	591265
114	76716	590379
115	77365	589581
116	78014	588773
117	78651	587888
118	79335	587345
119	79977	586499
120	80617	585639
121	81259	584801
122	81904	583984
123	82555	583214
124	83196	582373
125	83840	581561
126	84477	580697
127	85115	579846
128	85755	579017
129	86402	578234
130	87039	577385
131	87677	576544
132	88323	575764
133	88966	574960
134	89603	574123
135	90258	573408
136	90913	572687
137	91553	571878
138	92212	571185
139	92874	570515
140	93520	569745
141	94157	568925
142	94813	568219
143	95448	567386
144	96085	566572
145	96729	565803
146	97369	565006
147	98003	564180
148	98658	563478
149	99340	562926
150	99984	562163
151	100625	561381
152	101264	560597
153	101928	559943
154	102570	559174
155	103216	558426
156	103854	557641
157	104494	556862
158	105136	556099
159	105789	555392
160	106429	554625
161	107086	553941
162	107726	553169
163	108374	552446
164	109013	551674
165	109657	550928
166	110303	550198
167	110940	549420
168	111579	548656
169	112216	547880
170	112860	547143
171	113517	546469
172	114168	545765
173	114863	545271
174	115504	544520
175	116153	543809
176	116800	543089
177	117453	542395
178	118104	541698
179	118764	541036
180	119410	540314
181	120048	539558
182	120698	538857
183	121344	538136
184	121986	537398
185	122634	536689
186	123277	535958
187	123923	535246
188	124567	534520
189	125220	533835
190	125865	533116
191	126513	532410
192	127170	531743
193	127816	531029
194	128466	530335
195	129108	529608
196	129770	528961
197	130407	528217
198	131047	527482
199	131682	526728
200	132327	526020
201	132963	525271
202	133604	524543
203	134251	523842
204	134888	523106
205	135520	522346
206	136168	521648
207	136807	520920
208	137441	520174
209	138097	519508
210	138744	518812
211	139390	518113
212	140036	517410
213	140668	516661
214	141303	515923
215	141934	515169
216	142574	514451
217	143214	513733
218	143858	513029
219	144513	512366
220	145168	511701
221	145819	511026
222	146464	510327
223	147103	509609
224	147771	508991
225	148431	508343
226	149084	507676
227	149727	506971
228	150386	506324
229	151032	505631
230	151689	504974
231	152340	504300
232	152988	503614
233	153642	502948
234	154286	502252
235	154926	501541
236	155556	500799
237	156193	500083
238	156834	499376
239	157477	498678
240	158136	498030
241	158786	497355
242	159437	496683
243	160090	496016
244	160738	495336
245	161386	494656
246	162045	494007
247	162683	493298
248	163322	492590
249	163968	491904
250	164616	491225
251	165251	490508
252	165886	489790
253	166522	489077
254	167164	488383
255	167798	487664
256	168433	486949
257	169068	486236
258	169705	485526
259	170348	484837
260	171001	484176
261	171656	483522
262	172302	482840
263	172943	482144
264	173577	481431
265	174213	480723
266	174854	480031
267	175493	479332
268	176133	478638
269	176768	477928
270	177421	477271
271	178061	476576
272	178700	475879
273	179336	475177
274	179976	474483
275	180619	473798
276	181261	473111
277	181916	472459
278	182564	471788
279	183202	471091
280	183848	470415
281	184484	469716
282	185129	469038
283	185766	468341
284	186413	467668
285	187095	467084
286	187799	466553
287	188479	465964
288	189150	465350
289	189823	464741
290	190497	464133
291	191182	463552
292	191841	462907
293	192485	462225
294	193160	461621
295	193831	461005
296	194482	460340
297	195148	459712
298	195831	459123
299	196497	458494
300	197139	457810
301	197787	457138
302	198427	456449
303	199074	455775
304	199715	455090
305	200366	454426
306	201006	453736
307	201649	453057
308	202301	452394
309	202941	451709
310	203593	451048
311	204246	450388
312	204917	449771
313	205575	449124
314	206228	448466
315	206871	447785
316	207521	447119
317	208163	446438
318	208802	445751
319	209445	445071
320	210085	444386
321	210730	443711
322	211370	443026
323	212013	442349
324	212648	441654
325	213307	441009
326	213945	440322
327	214587	439642
328	215253	439012
329	215918	438379
330	216597	437774
331	217278	437174
332	217979	436613
333	218651	435994
334	219331	435390
335	220020	434802
336	220706	434209
337	221381	433592
338	222087	433036
339	222766	432429
340	223439	431808
341	224113	431188
342	224788	430571
343	225450	429928
344	226132	429324
345	226799	428690
346	227448	428022
347	228119	427396
348	228766	426725
349	229412	426051
350	230080	425418
351	230738	424767
352	231390	424106
353	232037	423436
354	232715	422821
355	233432	422276
356	234108	421658
357	234844	421146
358	235520	420524
359	236211	419930
360	236891	419317
361	237568	418698
362	238264	418111
363	238933	417476
364	239626	416885
365	240308	416271
366	241011	415696
367	241692	415080
368	242382	414481
369	243066	413869
370	243742	413244
371	244421	412626
372	245125	412047
373	245819	411451
374	246498	410830
375	247169	410196
376	247842	409565
377	248510	408923
378	249218	408350
379	249895	407724
380	250593	407132
381	251269	406504
382	251917	405831
383	252571	405166
384	253220	404495
385	253869	403823
386	254511	403141
387	255153	402457
388	255792	401771
389	256428	401081
390	257079	400413
391	257721	399731
392	258364	399052
393	259002	398363
394	259647	397687
395	260289	397006
396	260929	396323
397	261578	395653
398	262235	394995
399	262877	394316
400	263528	393649
401	264168	392966
402	264804	392279
403	265440	391590
404	266083	390912
405	266720	390225
406	267359	389543
407	267995	388856
408	268629	388166
409	269270	387486
410	269912	386808
411	270549	386123
412	271193	385449
413	271824	384756
414	272476	384094
415	273128	383430
416	273767	382749
417	274404	382065
418	275046	381388
419	275687	380711
420	276326	380031
421	276965	379350
422	277609	378677
423	278254	378005
424	278955	377410
425	279624	376771
426	280259	376086
427	280895	375402
428	281533	374721
429	282173	374044
430	282812	373364
431	283449	372683
432	284091	372009
433	284741	371345
434	285396	370687
435	286053	370032
436	286688	369349
437	287320	368662
438	287961	367986
439	288598	367307
440	289250	366646
441	289900	365982
442	290553	365324
443	291196	364651
444	291839	363979
445	292480	363305
446	293116	362625
447	293750	361942
448	294391	361269
449	295031	360594
450	295673	359922
451	296330	359267
452	296969	358592
453	297606	357914
454	298247	357241
455	298896	356578
456	299538	355906
457	300181	355236
458	300832	354576
459	301480	353911
460	302126	353245
461	302778	352586
462	303420	351915
463	304073	351256
464	304716	350588
465	305355	349914
466	305998	349244
467	306636	348570
468	307292	347915
469	307951	347264
470	308601	346603
471	309247	345937
472	309891	345270
473	310533	344600
474	311173	343928
475	311807	343250
476	312450	342581
477	313086	341906
478	313722	341230
479	314372	340570
480	315004	339890
481	315637	339212
482	316285	338550
483	316942	337897
484	317600	337246
485	318240	336575
486	318891	335916
487	319534	335249
488	320178	334582
489	320822	333917
490	321467	333252
491	322101	332576
492	322755	331921
493	323396	331252
494	324034	330580
495	324670	329907
496	325310	329238
497	325947	328565
498	326590	327899
499	327224	327224
500	327862	326553
501	328502	325884
502	329163	325237
503	329798	324563
504	330466	323922
505	331133	323280
506	331769	322608
507	332406	321937
508	333045	321267
509	333682	320596
510	334325	319932
511	334964	319263
512	335616	318606
513	336259	317942
514	336895	317270
515	337538	316605
516	338171	315931
517	338812	315265
518	339447	314593
519	340099	313938
520	340744	313275
521	341380	312604
522	342026	311944
523	342668	311279
524	343306	310610
525	343942	309940
526	344576	309268
527	345214	308600
528	345848	307929
529	346493	307268
530	347140	306607
531	347777	305939
532	348423	305278
533	349082	304629
534	349712	303955
535	350355	303292
536	351001	302632
537	351635	301962
538	352275	301296
539	352920	300635
540	353568	299977
541	354210	299314
542	354842	298643
543	355479	297975
544	356116	297308
545	356761	296647
546	357397	295979
547	358036	295314
548	358667	294643
549	359330	293997
550	359964	293328
551	360624	292680
552	361272	292023
553	361928	291372
554	362571	290710
555	363222	290055
556	363868	289396
557	364520	288741
558	365158	288076
559	365796	287411
560	366432	286745
561	367074	286082
562	367716	285421
563	368368	284767
564	369020	284113
565	369668	283455
566	370312	282796
567	370949	282130
568	371594	281471
569	372236	280809
570	372878	280148
571	373516	279484
572	374158	278823
573	374795	278158
574	375436	277496
575	376086	276841
576	376731	276182
577	377371	275520
578	378013	274859
579	378666	274206
580	379311	273548
581	379944	272881
582	380587	272221
583	381220	271554
584	381856	270889
585	382498	270229
586	383145	269572
587	383778	268905
588	384418	268244
589	385049	267576
590	385686	266913
591	386319	266247
592	386955	265583
593	387615	264935
594	388254	264274
595	388892	263611
596	389529	262948
597	390171	262289
598	390815	261631
599	391458	260972
600	392094	260309
601	392730	259645
602	393372	258986
603	394019	258330
604	394658	257669
605	395294	257006
606	395929	256343
607	396563	255679
608	397210	255023
609	397847	254361
610	398488	253702
611	399138	253048
612	399783	252391
613	400432	251738
614	401074	251079
615	401706	250414
616	402343	249752
617	402980	249091
618	403612	248427
619	404253	247768
620	404893	247108
621	405527	246446
622	406188	245799
623	406821	245135
624	407474	244484
625	408108	243821
626	408740	243158
627	409381	242499
628	410036	241849
629	410682	241194
630	411318	240533
631	411951	239870
632	412584	239207
633	413218	238545
634	413866	237891
635	414502	237230
636	415143	236572
637	415778	235911
638	416417	235252
639	417049	234590
640	417689	233932
641	418331	233274
642	418968	232615
643	419610	231958
644	420257	231304
645	420917	230657
646	421587	230015
647	422242	229366
648	422883	228708
649	423529	228054
650	424182	227403
651	424816	226742
652	425457	226085
653	426098	225428
654	426739	224771
655	427384	224116
656	428025	223459
657	428667	222802
658	429321	222152
659	429976	221502
660	430622	220848
661	431284	220202
662	431953	219559
663	432592	218902
664	433254	218256
665	433893	217598
666	434532	216940
667	435166	216280
668	435871	215655
669	436582	215033
670	437296	214412
671	438019	213795
672	438730	213172
673	439376	212517
674	440037	211869
675	440679	211213
676	441319	210555
677	441954	209895
678	442612	209246
679	443256	208591
680	443900	207935
681	444558	207286
682	445193	206627
683	445825	205965
684	446474	205313
685	447121	204658
686	447768	204005
687	448416	203351
688	449052	202692
689	449694	202036
690	450351	201387
691	451005	200736
692	451661	200086
693	452335	199444
694	452980	198789
695	453621	198133
696	454257	197475
697	454904	196821
698	455556	196169
699	456196	195512
700	456836	194856
701	457475	194199
702	458110	193540
703	458750	192883
704	459387	192225
705	460025	191568
706	460663	190911
707	461323	190263
708	461997	189621
709	462650	188969
710	463321	188326
711	463980	187677
712	464625	187023
713	465267	186367
714	465916	185715
715	466555	185058
716	467204	184405
717	467849	183751
718	468489	183095
719	469124	182437
720	469761	181780
721	470413	181128
722	471053	180472
723	471695	179817
724	472336	179161
725	472976	178506
726	473622	177852
727	474261	177196
728	474908	176543
729	475544	175886
730	476198	175235
731	476837	174580
732	477479	173925
733	478127	173272
734	478792	172625
735	479428	171969
736	480063	171311
737	480711	170659
738	481364	170008
739	482012	169355
740	482680	168710
741	483351	168065
742	483998	167412
743	484637	166757
744	485281	166102
745	485913	165445
746	486556	164790
747	487205	164138
748	487849	163484
749	488493	162831
750	489142	162179
751	489796	161528
752	490439	160874
753	491073	160217
754	491723	159565
755	492362	158910
756	493020	158261
757	493667	157609
758	494331	156961
759	494984	156310
760	495657	155666
761	496318	155017
762	496956	154362
763	497599	153708
764	498233	153052
765	498867	152395
766	499500	151738
767	500139	151083
768	500785	150431
769	501434	149779
770	502071	149123
771	502714	148470
772	503371	147820
773	504027	147170
774	504682	146520
775	505320	145865
776	505965	145212
777	506603	144557
778	507254	143906
779	507920	143259
780	508576	142609
781	509217	141955
782	509853	141300
783	510493	140646
784	511138	139993
785	511776	139338
786	512431	138688
787	513062	138032
788	513709	137379
789	514351	136726
790	514997	136074
791	515636	135419
792	516275	134765
793	516912	134110
794	517565	133460
795	518226	132811
796	518863	132157
797	519507	131504
798	520144	130849
799	520783	130195
800	521419	129541
801	522055	128886
802	522698	128233
803	523338	127580
804	523984	126928
805	524620	126273
806	525260	125619
807	525895	124965
808	526538	124312
809	527179	123659
810	527830	123008
811	528555	122374
812	529196	121721
813	529847	121070
814	530497	120419
815	531155	119770
816	531811	119120
817	532477	118473
818	533139	117824
819	533777	117170
820	534421	116518
821	535059	115864
822	535709	115213
823	536356	114561
824	536994	113907
825	537642	113256
826	538283	112603
827	538984	111963
828	539661	111317
829	540303	110664
830	540946	110011
831	541593	109360
832	542294	108719
833	542950	108069
834	543606	107419
835	544270	106770
836	545045	106143
837	545769	105506
838	546452	104861
839	547112	104211
840	547783	103564
841	548454	102916
842	549132	102270
843	549814	101624
844	550522	100983
845	551189	100334
846	551861	99686
847	552526	99037
848	553168	98384
849	553819	97732
850	554469	97080
851	555122	96429
852	555782	95779
853	556446	95130
854	557121	94482
855	557785	93833
856	558437	93181
857	559082	92528
858	559723	91875
859	560374	91223
860	561028	90572
861	561672	89919
862	562313	89266
863	562968	88615
864	563613	87962
865	564254	87309
866	564896	86656
867	565531	86002
868	566172	85349
869	566811	84695
870	567450	84042
871	568087	83389
872	568729	82736
873	569374	82083
874	570042	81434
875	570680	80781
876	571324	80128
877	571966	79475
878	572608	78823
879	573247	78170
880	573891	77517
881	574528	76864
882	575181	76213
883	575834	75561
884	576490	74911
885	577151	74261
886	577794	73608
887	578445	72957
888	579086	72304
889	579730	71652
890	580371	70999
891	581030	70349
892	581674	69696
893	582322	69044
894	582970	68393
895	583621	67741
896	584257	67088
897	584898	66436
898	585536	65783
899	586176	65130
900	586829	64479
901	587484	63828
902	588145	63178
903	588786	62526
904	589429	61873
905	590070	61221
906	590718	60569
907	591369	59918
908	592007	59265
909	592663	58615
910	593325	57964
911	593974	57313
912	594618	56661
913	595255	56008
914	595899	55356
915	596538	54704
916	597178	54052
917	597815	53399
918	598464	52748
919	599100	52095
920	599740	51443
921	600386	50791
922	601039	50140
923	601689	49489
924	602344	48838
925	602987	48186
926	603633	47535
927	604285	46884
928	604923	46232
929	605570	45580
930	606210	44928
931	606852	44276
932	607504	43625
933	608162	42975
934	608815	42324
935	609455	41672
936	610095	41020
937	610739	40368
938	611382	39717
939	612028	39065
940	612670	38413
941	613317	37762
942	613958	37110
943	614595	36459
944	615244	35807
945	615886	35156
946	616544	34505
947	617181	33853
948	617820	33202
949	618459	32550
950	619104	31899
951	619751	31247
952	620411	30597
953	621054	29946
954	621697	29294
955	622339	28643
956	622985	27992
957	623631	27340
958	624272	26689
959	624912	26038
960	625550	25386
961	626191	24735
962	626845	24084
963	627486	23433
964	628127	22781
965	628772	22130
966	629420	21479
967	630064	20828
968	630708	20177
969	631346	19526
970	631985	18874
971	632625	18223
972	633266	17572
973	633914	16921
974	634565	16270
975	635213	15620
976	635864	14969
977	636509	14318
978	637146	13667
979	637787	13016
980	638436	12365
981	639076	11714
982	639719	11063
983	640360	10412
984	640999	9761
985	641644	9110
986	642283	8459
987	642926	7808
988	643568	7157
989	644207	6507
990	644851	5856
991	645495	5205
992	646132	4554
993	646776	3904
994	647422	3253
995	648065	2602
996	648712	1951
997	649366	1301
998	650025	650
999	650668	0
